ID,Sample,negativity,neutrality,positivity,compound,polarity,subjectivity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Verdadero,Misinformation,Desinformación,ProGob,ContraGob,NoVerificable,MisDisInformation,Propaganda
277,A,0.073,0.813,0.114,0.0966,0.3,0.68,0.066666667,0.033333333,0.033333333,0.1,0.033333333,0.133333333,0.166666667,0.066666667,0,0.1,0,0,0,0,0,1,0,0
278,A,0.163,0.837,0,-0.5719,-0.15,0.2,0,0,0,0,0,0.083333333,0.166666667,0.083333333,0,0.083333333,1,0,0,0,0,0,0,0
279,A,0.242,0.758,0,-0.8876,-0.116666667,0.291666667,0.05,0.05,0.15,0.15,0,0.15,0.1,0.1,0.1,0,0,0,0,0,0,1,0,0
280,A,0.212,0.788,0,-0.7351,0,0,0,0.071428571,0.071428571,0.071428571,0,0.142857143,0.071428571,0,0,0,0,0,0,0,0,1,0,0
281,A,0.294,0.594,0.113,-0.5859,0.238636364,0.439393939,0,0,0,0.071428571,0,0.142857143,0,0.071428571,0,0,1,0,0,0,0,0,0,0
282,A,0,0.922,0.078,0.1531,-0.05,0.666666667,0,0,0,0,0,0,0.2,0,0,0.1,1,0,0,0,0,0,0,0
284,A,0.244,0.669,0.087,-0.6124,-0.15,0.4,0.083333333,0,0.083333333,0.083333333,0,0.083333333,0.166666667,0.083333333,0,0,1,0,0,0,0,0,0,0
285,A,0.196,0.804,0,-0.296,0,0.5,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,1,0,0
286,A,0.194,0.806,0,-0.6249,-1,1,0,0,0,0,0.090909091,0,0.090909091,0,0,0,1,0,0,0,0,0,0,0
287,A,0.098,0.902,0,-0.5719,-0.058333333,0.369444444,0,0.045454545,0,0,0,0.045454545,0.045454545,0.045454545,0,0.045454545,1,0,0,0,0,0,0,0
288,A,0,1,0,0,0.033333333,0.066666667,0.076923077,0.076923077,0,0.076923077,0,0.076923077,0,0.076923077,0,0,1,0,0,0,0,0,0,0
289,A,0.126,0.769,0.104,-0.0772,0.1,0.691666667,0,0.086956522,0,0.130434783,0.043478261,0.086956522,0.260869565,0.043478261,0,0.086956522,0,0,0,0,1,0,0,1
290,A,0.238,0.762,0,-0.7351,-0.00625,0.15,0,0,0,0.25,0,0.25,0.083333333,0.083333333,0,0.083333333,1,0,0,0,0,0,0,0
291,A,0,1,0,0,0,0,0,0.111111111,0,0,0.055555556,0,0.111111111,0,0,0,1,0,0,0,0,0,0,0
292,A,0.187,0.768,0.046,-0.7783,-0.20625,0.59375,0,0.037037037,0,0,0.037037037,0.074074074,0.148148148,0.037037037,0,0.111111111,0,0,0,0,0,1,0,0
293,A,0,0.806,0.194,0.5574,0.227272727,0.545454545,0.125,0,0,0.125,0,0.125,0.25,0.125,0,0.125,1,0,0,0,0,0,0,0
